,min,max,default,share_group,step,code,unit,disabled,cache_error,permitted_values
capacity_of_energy_power_wind_turbine_coastal,0.0,27.584999999999994,0.0,,0.1,capacity_of_energy_power_wind_turbine_coastal,MW,,,
capacity_of_energy_power_wind_turbine_offshore,0.0,75000.0,0.0,,0.1,capacity_of_energy_power_wind_turbine_offshore,MW,,,
capacity_of_energy_power_wind_turbine_inland,0.0,73913.85,76.09953703703702,,0.1,capacity_of_energy_power_wind_turbine_inland,MW,,,
capacity_of_energy_power_geothermal,0.0,1434.4722789930554,0.0,,0.1,capacity_of_energy_power_geothermal,MW,,,
capacity_of_energy_power_turbine_hydrogen,0.0,22951.556463888886,0.0,,0.1,capacity_of_energy_power_turbine_hydrogen,MW,,,
capacity_of_energy_power_combined_cycle_hydrogen,0.0,5885.014477920228,0.0,,0.1,capacity_of_energy_power_combined_cycle_hydrogen,MW,,,
capacity_of_energy_chp_local_engine_biogas,0.0,1434.4722789930554,5.972222222222221,,0.1,capacity_of_energy_chp_local_engine_biogas,MW,,,
capacity_of_energy_chp_local_wood_pellets,0.0,1912.6297053240742,0.0,,0.1,capacity_of_energy_chp_local_wood_pellets,MW,,,
capacity_of_energy_power_hydro_river,0.0,4562.933690633974,17.450850452838527,,0.1,capacity_of_energy_power_hydro_river,MW,,,
capacity_of_energy_power_hydro_mountain,0.0,2851.833556646234,0.0,,0.1,capacity_of_energy_power_hydro_mountain,MW,True,,
capacity_of_energy_power_solar_csp_solar_radiation,0.0,13236.191732346533,0.0,,0.1,capacity_of_energy_power_solar_csp_solar_radiation,MW,True,,
capacity_of_energy_power_solar_pv_solar_radiation,0.0,492759.0,24.090093553761378,,0.1,capacity_of_energy_power_solar_pv_solar_radiation,MW,,,
capacity_of_energy_hydrogen_steam_methane_reformer,0.0,2899.8544142942133,0.0,,,capacity_of_energy_hydrogen_steam_methane_reformer,MW,,,
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0.0,492759.0,0.0,,0.01,capacity_of_energy_hydrogen_solar_pv_solar_radiation,MW,,,
capacity_of_energy_hydrogen_wind_turbine_offshore,0.0,75000.0,0.0,,0.01,capacity_of_energy_hydrogen_wind_turbine_offshore,MW,,,
capacity_of_energy_hydrogen_biomass_gasification,0.0,2758.61340781413,0.0,,,capacity_of_energy_hydrogen_biomass_gasification,MW,,,
capacity_of_energy_imported_hydrogen_baseload,0.0,2482.7520670327167,0.0,,0.01,capacity_of_energy_imported_hydrogen_baseload,MW,,,
co2_emissions_of_imported_hydrogen_present,0.0,1500.0,280.8,,1.0,co2_emissions_of_imported_hydrogen_present,kg/MWh,,,
co2_emissions_of_imported_hydrogen_future,0.0,1500.0,280.8,,1.0,co2_emissions_of_imported_hydrogen_future,kg/MWh,,,
energy_transport_hydrogen_pipelines_share,0.0,100.0,99.0,hydrogen_transport,0.1,energy_transport_hydrogen_pipelines_share,%,,,
energy_transport_hydrogen_compressed_trucks_share,0.0,100.0,1.0,hydrogen_transport,0.1,energy_transport_hydrogen_compressed_trucks_share,%,,,
energy_greengas_gasification_wet_biomass_share,0.0,100.0,0.0,greengas,0.1,energy_greengas_gasification_wet_biomass_share,%,,,
energy_greengas_gasification_dry_biomass_share,0.0,100.0,0.0,greengas,0.1,energy_greengas_gasification_dry_biomass_share,%,,,
energy_biogas_fermentation_share,0.0,100.0,100.0,greengas,0.1,energy_biogas_fermentation_share,%,,,
max_demand_of_wet_biomass,0.0,45.25218308587631,10.552457,,0.01,max_demand_of_wet_biomass,PJ,,,
max_demand_of_oily_biomass,0.0,45.25218308587631,1.258853189,,0.01,max_demand_of_oily_biomass,PJ,,,
max_demand_of_biogenic_waste,0.0,45.25218308587631,2.5191169649381573,,0.01,max_demand_of_biogenic_waste,PJ,,,
max_demand_of_dry_biomass,0.0,45.25218308587631,8.295664389,,0.01,max_demand_of_dry_biomass,PJ,,,
co_firing_biocoal_share,0.0,100.0,0.0,coal_plant_fuel,0.1,co_firing_biocoal_share,%,,,
co_firing_coal_share,0.0,100.0,100.0,coal_plant_fuel,0.1,co_firing_coal_share,%,,,
green_gas_total_share,0.0,100.0,0.4171176605278969,fuels_gas,0.1,green_gas_total_share,%,,,
natural_gas_total_share,0.0,100.0,99.5828823394721,fuels_gas,0.1,natural_gas_total_share,%,,,
capacity_of_industry_chp_turbine_gas_power_fuelmix,0.0,2184.601063125,0.0,,0.1,capacity_of_industry_chp_turbine_gas_power_fuelmix,MW,,,
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0.0,2361.7600042815784,0.0,,0.1,capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,MW,,,
